"","pos_date","valg","wc","Navn","Parti","Statement","year"
"11",2000-09-28,1997,25,"Morten Lund ","Sp","John Dale og jeg fremmer et forslag om å be Regjeringen sørge for at forvaltningen av defire store rovdyra er i tråd med Stortingets intensjoner.",2000
"12",2000-09-28,1997,1068,"Presidenten","Stortinget","Forslagene vil bli behandlet på reglementsmessig måte. Presidenten vil, før vi går videre på dagsordenen, gjøre oppmerksom på at behandlingstiden antakelig vil blikort, og at voteringene vil følge umiddelbart, og når Referat er ferdig, er ikke møtet slutt. V o t e r i n g : Presidentskapets innstilling bifaltes enstemmig.Votering i sak nr. 2Komiteen hadde innstillet:Som medlemmer og varamedlemmer av A/S Vinmonopolets bedriftsforsamling velges for tidsrommet 1. juli2000 – 30. juni 2002:Medlemmer: 1. Kari Bergum, Gjøvik. 2. Kåre Øvregard, Gaupne. 3. Berit Wiersen, Stord. 4. Snorre Ness, Namsos. 5. Dagny Gärtner Hovig, Oslo. 6. Ranja Hauglid, Sjøvegan. 7. Inger-Marie Ytterhorn, Bergen. 8. Peter N. Myhre, Oslo. 9. Aud Angell, Finnmark.10.Paul Liseth, Buskerud.11.Anne-Lise Bleie, Brandbu.12.Ernst Sneve, Bjørnevatn.13.Liv Skogstad, Mysen.14.Jon Bakken, Selbu.Varamedlemmer:For nr. 1-6:Karl Einar Haslestad, Sande.S2611999-2000391228. sept. – Referat2000Liv Henjum, Måløy.Bodil Byrkjedal Møller, Klepp.Britt Jonassen, Vefsn.Finn Tallakstad, Siljan.Kirsti Lange, Finnsnes.For nr. 7-8:Jostein Havnerås, Haugesund.Per Morten Bjørnstad, Kongsberg.For nr. 9-10Gudny Ronglan, Levanger.Grete Jordheim, Hamar.For nr. 11-12:Egil Hestnes, Hitra.Janne Johnsen, Stavanger.For nr. 13:Britt-Eva Jakobsen, Finnsnes.For nr. 14:Kalle Hesstvedt, Oslo.V o t e r i n g : Komiteens innstilling bifaltes enstemmig. S a k n r . 3Referat1.2.3.4.5.6.7.(301) Forslag fra Øystein Djupedal og Rolf Reikvamom endringer av Grunnloven §§ 1, 3, 12-14, 16-22,25-31, 62, 67-69, 74-81, 86 og 112, om opphevelse avGrunnloven §§ 4-9, 11, 23, 24, 32, 34-37, 39-41, 4348, om ny § 113 og om endring av Grunnlovens overskrift. (Innføring av republikansk statsform) (Dokument nr. 12:1 (1999-2000)) (302) Forslag fra Øystein Djupedal og Hallgeir H.Langeland om endringer av Grunnloven §§ 2, 5, 9, 12,21, 22, 27, 44 og 106, opphevelse av Grunnloven §§ 4og 16 og endring av overskriften til kapittel A. (Statskirkeordningen og religions- og livssynsfrihet) (Dokument nr. 12:2 (1999-2000)) (303) Forslag fra Carl I. Hagen om endringer avGrunnloven §§ 20, 30 og 86. (Riksretten) (Dokumentnr. 12:3 (1999-2000)) (304) Forslag fra Arne Lyngstad og Elsa Skarbøvikom endringer av Grunnloven §§ 21 og 22. (Geistligeembedsmenn) (Dokument nr. 12:4 (1999-2000)) (305) Forslag fra Carl I. Hagen om endringer avGrunnloven §§ 21 og 22. (Fjerning av regjeringensrett til å utnevne biskoper og øvrige embetsmenn)(Dokument nr. 12:5 (1999-2000)) (306) Forslag fra Gunnar Kvassheim og Leif HelgeKongshaug om ny § 49 a, alternativt § 82 eller § 85 ai Grunnloven. (Kommunalt selvstyre) (Dokument nr.12:6 (1999-2000)) (307) Forslag fra Gunnar Skaug, Carl I. Hagen, EinarSteensnæs, Jan Petersen, Kristin Halvorsen og LarsSponheim om endringer av Grunnloven §§ 50, 53, 57,58, 59, 61, 62, 63 og ny § 82. (Valgordningen) (Dokument nr. 12:7 (1999-2000)) 9.8.(308) Forslag fra Gunnar Skaug, Carl I. Hagen ogLars Sponheim om endringer av Grunnloven §§ 54,63, 68, 71, 79 og 112. (Oppløsningsrett) (Dokumentnr. 12:8 (1999-2000)) (309) Forslag fra Per-Kristian Foss og Inge Lønningom endringer av Grunnloven §§ 54, 68, 71 og 112.(Oppløsningsrett) (Dokument nr. 12:9 (1999-2000)) 10. (310) Forslag fra Gunnar Halvorsen om endring avGrunnloven § 59. (Tildeling av distriktsrepresentant)(Dokument nr. 12:10 (1999-2000)) 11. (311) Forslag fra Carl I. Hagen om endring av Grunnloven § 71. (Opphør av partimedlemskap) (Dokumentnr. 12:11 (1999-2000)) 12. (312) Forslag fra Carl I. Hagen og Fridtjof Frank Gundersen om ny § 82 i Grunnloven. (Bindende, alternativt rådgivende folkeavstemning og initiativrett) (Dokument nr. 12:12 (1999-2000)) 13. (313) Forslag fra Thomas Chr. Wyller, vedtatt tilfremsettelse av Anne Enger Lahnstein og John Dale,om endring av Grunnloven § 93. (Rådgivende folkeavstemning) (Dokument nr. 12:13 (1999-2000)) 14. (314) Forslag fra Erna Solberg om ny § 93 a i Grunnloven. (Norsk tilslutning til Den europeiske Union)(Dokument nr. 12:14 (1999-2000)) 15. (315) Forslag fra Kjell Magne Bondevik og Åse Gunhild Woie Duesund om ny § 95 a i Grunnloven. (Vernav liv) (Dokument nr. 12:15 (1999-2000)) 16. (316) Forslag fra Gunnar Skaug, Carl I. Hagen, EinarSteensnæs, Jan Petersen, Kristin Halvorsen og LarsSponheim om endring av Grunnloven § 100. (Ytringsfrihet) (Dokument nr. 12:16 (1999-2000)) 17. (317) Forslag fra Gunnar Kvassheim og Lars Sponheim om ny § 100 a i Grunnloven. (Offentlighetsprinsippet) (Dokument nr. 12:17 (1999-2000)) 18. (318) Forslag fra Morten Lund og Magnhild MeltveitKleppa om ny § 110 d i Grunnloven. (Lokalt selvstyre) (Dokument nr. 12:18 (1999-2000)) 19. (319) Forslag fra Karin Andersen om ny § 110 d iGrunnloven. (Retten til bolig) (Dokument nr. 12:19(1999-2000)) 20. (320) Forslag fra Carl I. Hagen om ny § 110 d iGrunnloven. (Avkastningen av Folketrygdfondet ogPetroleumsfondet og bruk av fondets midler) (Dokument nr. 12:20 (1999-2000)) 21. (321) Forslag fra Carl I. Hagen om ny § 110 e i Grunnloven. (Grunnlovssikre opparbeidede trygde- og pensjonsrettigheter) (Dokument nr. 12:21 (1999-2000)) Enst.: Nr. 1-21 blir under presidentens ansvar å bekjentgjøre ved trykken for å komme til avgjørelse påførste, annet eller tredje storting etter neste valg.22. (322) Samtykke til ratifikasjon av ein protokoll av30. november 1999 til konvensjonen om langtransportert grensekryssande luftureining av 13. november1979, som gjeld reduksjon av forsuring, overgjødslingog bakkenært ozon (St.prp. nr. 87 (1999-2000)) Enst.: Sendes energi- og miljøkomiteen.23. (323) Tilleggsbevilgning til kommuner og fylkeskommuner vedrørende økte utgifter til feriepenger og200028. sept. – Referat3913ny arbeidstidsavtale for lærere (St.prp. nr. 88 (19992000)) Enst.: Sendes kommunalkomiteen.24. (324) Endring av Grunnloven § 100 (St.meld. nr. 42(1999-2000)) Enst.: Sendes kontroll- og konstitusjonskomiteen.25. (325) Samtykke til godkjenning av avgjerd i EØS-komiteen nr. 66/2000 av 31. juli 2000 om endring avvedlegg XI til EØS-avtala (telekommunikasjonstenester) (St.prp. nr. 86 (1999-2000)) Enst.: Sendes næringskomiteen, som forelegger sittutkast til innstilling for utenrikskomiteen til uttalelsefør innstilling avgis.26. (326) Akuttmedisinsk beredskap (St.meld. nr. 43(1999-2000)) Enst.: Sendes sosialkomiteen.27. (327) Forelegg for Stortinget av overenskomster inngått med fremmede makter i 1998 28. (328) Samtykke til tiltreding til Unidroit-konvensjonen av 24. juni 1995 om stolne eller ulovleg utførtekulturgjenstandar (St.prp. nr. 85 (1999-2000)) 29. (329) Nordisk samarbeide (St.meld. nr. 30 (19992000)) Enst.: Nr. 27-29 sendes utenrikskomiteen.30- (330) Troms fylkeskommune sender skriv datert 4. juli2000 med uttalelse fra fylkesrådet om tannlegemangelen Enst.: Vedlegges protokollen.K i r s t i K o l l e G r ø n d a h l overtok her presidentplassen",2000
"13",2000-09-28,1997,872,"Presidenten","Stortinget"," Kjære stortingsrepresentanter! Vi står nåved avslutningen av det siste møtet i det 144. storting, dettredje storting i denne valgperioden. Det innebærer at fristen for fremsettelse av grunnlovsforslag nå er utløpt. Deter framsatt 21 grunnlovsforslag som dreier seg om viktigesider ved vår statsforvaltning. Så blir det opp til det nestestortinget å ta stilling til forslagene.I den stortingssesjonen som nå ligger bak oss, har detvært avviklet 98 møter i Stortinget i plenum, 39 møter iOdelstinget og 17 møter i Lagtinget. Stortinget har hatt25 kveldsmøter og Odelstinget 14. Det er noe færre møter og kveldsmøter i Stortinget enn foregående år, mensdet for Odelstinget er ganske nær det samme. Totalt har16 møter vart utover den reglementsmessige tid, kl. 22,kun tre av dem etter kl. 24. Selv om det har vært en håndfull flere møter etter kl. 22 enn året før, synes presidentenat dette ligger innenfor rammen av den positive utviklingen som hun har observert gjennom en del år hva angårsene kveldsmøter.Stortingets komiteer har i året som gikk, avgitt 361innstillinger: 259 til Stortinget og 102 til Odelstinget. Itillegg kommer budsjettinnstillingene.Utenom trontalen, finanstalen og regjeringserklæringen fra regjeringen Stoltenberg har Stortinget mottatt13 redegjørelser fra de to regjeringene som har sittet medansvaret det siste året.9. mars stilte statsminister Bondevik kabinettsspørsmål på forurensningsloven. Resultatet av avstemningen iStortinget førte til at regjeringen Bondevik gikk av, og atregjeringen Stoltenberg tiltrådte 17. mars.Fra de to regjeringene har det kommet 88 stortingsproposisjoner, 45 stortingsmeldinger og 81 odelstingsproposisjoner. Stortingsrepresentantene har framsatt 92Dokument nr. 8-forslag. Dette utgjør ca. 30 pst. av detsamlede antall saker.Nær 100 saker er utsatt til neste storting. 37 av disseer Dokument nr. 8-forslag. Et lite utvalg av saker som erbehandlet, er:– barnehagemelding– digitalt fjernsyn– statens eierskap i Kreditkassen– anskaffelse av nye fregatter– etablering av politidirektorat– energimelding, inkludert forslag om bygging av gasskraftverk– forskningsmelding– diverse grunnlovsforslag– regler om offentlighet for Stortinget og Stortingets organer– IT Fornebu– Telenor og Telia– omlegging av Postens ekspedisjonsnett– utjamningsmelding– Svalbard-melding– ny apoteklov – og– vi har opphevet loven om smittsomme sykdommer påbier.36 interpellasjonsdebatter er avviklet, mens 608 spørretimespørsmål er besvart i den ordinære spørretimen.Antall skriftlige spørsmål fortsetter å øke, og antall besvarte er nå nær 460 – om lag 60 flere enn foregående år.I den muntlige spørretimen, som har vært avholdt 24ganger, er det stilt 188 hovedspørsmål. 120 representanter har deltatt.Nytt av året er iverksettelsen av den nye bestemmelsen i forretningsordenen om at regjeringen skal gi tilbakemelding om oppfølgingen av de vedtak Stortinget gjør.Det dreier seg om de såkalte anmodninger til regjeringen,som har formen «Stortinget ber Regjeringen … ». I denforbindelse er det opprettet et vedtaksregister i Stortinget, og her er det for inneværende storting registrert 127vedtak og 42 forslag som er oversendt Regjeringen utenrealitetsvotering, såkalte henstillinger. Tilsvarende foregående år var 161 vedtak og 80 henstillinger. Ellers bør det nevnes at Stortinget i vår avholdt et seminar om behovet for konstitusjonelle reformer. En konkret oppfølging av seminaret er et utvalg som skal vurdere Stortingets kontrollvirksomhet, herunder erfaringenemed åpne høringer og riksrettens plass i vår konstitusjon. Et annet aktuelt tema er hvorvidt parlamentarismenskal inn i Grunnloven, herunder drøfting av regler somkan bidra til sterkere parlamentarisk grunnlag ved regjeringsdannelser. Hvorvidt dette blir fulgt opp av det stortinget som åpnes i kommende uke, gjenstår å se.Videre er det oppnevnt et utvalg som skal evaluerebudsjettreformen, slik at Stortinget i løpet av våren 2001391428. sept. – Undertegnelse av Stortingets forandlingsprotokoll2000kan ta stilling til om reformen skal bli permanent, eventuelt med ønskelige endringer.Vi har lagt bak oss et aktivt arbeidsår i Stortinget.Stortinget har nå avsluttet sine forhandlinger. Med disseord erklærer jeg det 144. storting for avsluttet.Presidenten vil nå oppfordre representantene til å skrive under Stortingets og avdelingenes protokoller. Lagtingsprotokollen er utlagt i lagtingssalen, mens protokollene for Stortinget og Odelstinget kan underskrives her isalen.Møtet hevet kl. 13.30.Stortingets forhandlingsprotokoll ble deretter underskrevet av de tilstedeværende representanter: Kirsti Kolle Grøndahl, Sverre Myrli, Trond Helleland, Mimmi Bæivi, Steinar Bastesen, Finn Kristian Marthinsen,Rigmor Kofoed-Larsen, Hill-Marta Solberg, Inger Lise Husøy, Kari Økland, Ursula Evje, Odd Einar Dørum, EinarJohansen, Jorunn Ringstad, Marit Nybakk, Sigrun Eng, Ivar Kristiansen, Torny Pedersen, Siri Frost Sterri, Ågot Valle,Hans J. Røsjorde, Kjell Engebretsen, Jan Tore Sanner, Lars Sponheim, Eirin Faldet, Jon Lilletun, Hallgeir H. Langeland, Kjell Magne Bondevik, Lars Rise, Fridtjof Frank Gundersen, Einar Steensnæs, Ansgar Gabrielsen, Petter Løvik,Per Sandberg, Gunn Karin Gjul, Rolf Reikvam, Erna Solberg, Astrid Marie Nistad, Odd Holten, Terje Knudsen, KarinKjølmoen, Magnhild Meltveit Kleppa, Bror Yngve Rahm, Karin Andersen, May Britt Vihovde, Bjørn Hernæs, LivMarit Moland, Gunnar Breimo, Leif Helge Kongshaug, Sverre J. Hoddevik, Bent Høie, Sigurd Grytten, Bent Hegna,Anne Brit Stråtveit, Lisbet Rugtvedt, Thore Aksel Nistad, Gard Folkvord, Tore Nordtun, Jan Petter Rasmussen, ElsaSkarbøvik, Jan Petersen, Erling Brandsnes, Svein Ludvigsen, Grethe Fossli, Sigvald Oppebøen Hansen, Hilde FrafjordJohnson, Tore Nordseth, Ellen Gjerpe Hansen, Oddbjørg Ausdal Starrfelt, Johan J. Jakobsen, Gunn Olsen, ØyvindVaksdal, Åse Wisløff Nilssen, Christopher Stensaker, John Dale, Marit Tingelstad, Leif Lund, Ulf Erik Knudsen,Shahbaz Tariq, Jan Sahl, Gunnar Skaug, Øyvind Korsberg, Per Roar Bredvold, Laila Kaland, Ola Røtvei, Anne HelenRui, Morten Lund, Inge Lønning, Rita Tveiten, Anita Apelthun Sæle, Randi Karlstrøm, Frank Willy Larsen, Jon OlavAlstad, Rune E. Kristiansen, Berit Brørby, Gunnar Halvorsen, Vidar Kleppe, Jørn L. Stang og Gudmund Restad.Trykt 9/10 2000",2000
"14",2000-06-08,1997,69,"Presidenten","Stortinget","Etter ønske fra familie-, kultur- og administrasjonskomiteen vil presidenten foreslå at debattenblir begrenset til 45 minutter, og at taletiden blir fordeltslik på gruppene:Arbeiderpartiet 10 minutter og de øvrige partigrupper5 minutter hver.Videre vil presidenten foreslå at det ikke blir gitt anledning til replikkordskifte etter de enkelte innlegg, og atde som måtte tegne seg på talerlisten utover den fordeltetaletid, får en taletid på inntil tre minutter.– Det anses vedtatt",2000
"15",2000-06-08,1997,334,"Inger Stolt-Nielsen ","H","By- ogbygdelister er lokale grupperinger uten felles partiorganisasjon, etablert for å ivareta lokale behov. Det eneste regionale eller rikspolitiske fellestrekk ved by- og bygdelistene er at de er sammensatt av engasjerte mennesker ilokalsamfunnene, ofte tverrpolitisk. Det er ikke heltuvanlig at en kommunestyrerepresentant fra en bygdeliste er fylkestingsrepresentant for et parti. Men vi finnerogså kandidater uten forankring i et partiapparat. De somstiller opp på disse listene uten partiforankring, er mennesker med lokalt engasjement som ikke ønsker å værebundet av andre programmer enn de rent lokale. Statsstøtte til politiske partier er en nødvendig kostnadsom vi betaler for å ha et levende demokrati med partiersom skal ivareta mer enn et lokalsamfunns behov. Deetablerte partiene har en tredelt organisasjon med lokal-,fylkes- og hovedorganisasjon, og partistøtten skal bidratil at arbeidet kan drives både på de ulike nivå og på tversav disse. De etablerte partiene skal utarbeide en helhetligS2301999-200034408. juni – Forslag fra repr. Jensen om likebeh. ved tildel. av øk. støtte til politiske grupperinger2000politikk som ivaretar både lokale, regionale og rikspolitiske hensyn, og partiprogrammene skal distribueres i befolkningen. Programmene er velgernes grunnlag for åvelge mellom de ulike partiene og derfor av den størstebetydning for et fungerende demokrati. Alt dette gir deetablerte partiene en kostnad som by- og bygdelisteneikke har. Derfor vil det være urimelig om denne støttensom skal sikre partiene økonomi til å gjøre dette overordnede arbeidet, skal utdeles likt til lokale grupperingersom ikke har eller tar ansvar utover lokalnivå. Det har vært raslet med sablene i Bygde-Norge. Byog bygdelistene har «truet» med å organisere seg i enlandsdekkende sammenslutning for slik å tvinge fremstemmestøtte. Men da forsvinner det som er deres særpreg, det ensidig lokale engasjement som samler mennesker med ulik ideologisk plattform til felles innsats forlokalmiljøet. Demokratiet må ha plass til slike tverrpolitiske lokale grupperinger. Derfor gis disse gruppene støtte til det arbeidet de driver lokalt, men det er ingen grunntil at de skal gis støtte for et arbeid som de ikke driver, påregional- og riksplanet. På denne bakgrunn vil flertallet i komiteen avvise forslaget",2000
"16",2000-06-08,1997,479,"Siv Jensen ","FrP","Sakens kjerne er at det er i dag enbetydelig forskjellsbehandling mellom politiske partierog andre politiske grupperinger som lovlig stiller til valg.I 1999 var det 225 by- og bygdelister som stilte til valg.De gis i dag et representanttilskudd fra kommunene, mende mottar ikke stemmestøtte på lik linje med andre politiske partier. I den senere tid har det vært en omfattende debatt ogsåher i huset om hvordan vi skal vitalisere befolkningen, fåmer liv i lokaldemokratiet, ja rett og slett skape mer engasjement. Det har vært en stor bekymring over at andelen velgere som stemmer, er fallende, og at man på enmåte ser en større grad av apati og av politikerforakt. På Hamar fikk by- og bygdelisten ca. 25 pst. av stemmene ved valget i høst. De fikk ordføreren, og det arbeidet de utfører i denne kommunen, har like mye kvalitativt i seg som det arbeidet som etablerte politiske partierutfører. Da synes jeg det er merkelig at et flertall i komiteen i innstillingen nøyer seg med å henvise til at man behandlet denne saken grundig i 1974. Man har altså ikketatt seg bryet med å argumentere i forhold til lokaldemokratiske rettigheter, spilleregler osv., man har bare vist tildenne innstillingen fra 1974. Og det er 26 år siden! Jegsynes det vitner om en form for monopolistisk lyst til åbeskytte egne særinteresser. Vi burde ikke som etablertepolitiske partier være redd for politiske grupperinger somaktivt engasjerer seg i lokaldemokratiet, som arbeider ikommunestyrene på lik linje med de etablerte partiene.Om man defineres som en politisk gruppering eller et politisk parti, så har man akkurat de samme oppgavene i detarbeidet man utfører i kommunestyret. Man må forholdeseg til det samme budsjettet. Man må forholde seg til desamme sakene. Man må gjøre nøyaktig det samme arbeidet uavhengig av om man har de samme interessene hvagjelder rikspolitikk, eller ikke. Det dette dreier seg om, er hvorvidt man skal gi samme økonomiske behandling for samme utførte arbeid ikommunestyrene. Det vil altså ikke flertallet gjøre, noejeg synes det er all mulig grunn til å reagere på. Det er enviktig prinsipiell debatt som vi burde tatt mye mer alvorlig enn bare å avvise forslaget med at man i 1974 mentesånn og slik. Det overrasker meg. Det overrasker megogså at dette åpenbart på en måte virker som en trusselmot etablerte partier. Jeg vil påstå at konsekvensen somdette eventuelt vil kunne få, er at disse by- og bygdelistene samler seg og etablerer et nytt politisk parti – hva detmåtte bety, og hva det måtte være verdt. Jeg synes i allefulle fall at for å hevde demokratiets rettigheter, styrkedemokratiet, styrke velgernes oppfatning av hva de ønsker å stemme på ved valg, burde vi i denne salen værestore nok til å likebehandle alle som har et engasjement ilokalpolitikken. Jeg synes det er veldig synd at dette forslaget blir avvist uten så mye som en begrunnelse fra komiteen.Jeg tar med dette opp Fremskrittspartiets forslag",2000
"17",2000-06-08,1997,10,"Presidenten","Stortinget","Representanten Siv Jensen har tatt oppdet forslaget hun refererte til",2000
"18",2000-06-08,1997,180,"Gunnar Kvassheim ","V","Venstre har stor sympati formindretallets forslag og for den begrunnelsen som erframført i innstillingen, og som er uttrykt gjennom innlegget til Siv Jensen. Jeg er ikke skeptisk til likebehandling med partiene, som også har andre oppgaver. Det tåler partiene. Jeg er enig med Siv Jensen i at denne sakenhadde fortjent å bli diskutert i lys av de utfordringer somlokaldemokratiet vårt i dag er stilt overfor. Vi har en felles oppgave i å vitalisere lokaldemokratiet, og der spillerdisse listene vi i dag diskuterer, en viktig rolle, og de vilgjøre det også i framtiden. Det er ikke denne forsamlingen uvedkommende at forholdene legges til rette for atde kan videreføre sitt arbeid. Når vi likevel vil følge flertallets innstilling, hengerdet sammen med at de spørsmål som her diskuteres, berøres av Valglovutvalget, som er i innspurten av sitt arbeid. Valglovutvalget legger fram sin innstilling rundtårsskiftet, og det vil være naturlig å diskutere alle despørsmålene Valglovutvalget berører, i etterkant av innstillingen. Det er Venstre beredt til å gjøre, og vi kommertil å gjøre det med utgangspunkt i den type tenkning somjeg her har redegjort for.",2000
"19",2000-06-08,1997,12,"Presidenten","Stortinget","De talere som heretter får ordet, har entaletid på inntil 3 minutter.",2000
"20",2000-06-08,1997,280,"Jørn L. Stang ","FrP","Jeg må si at jeg stiller meg meget undrende til saksordførerens argumentasjon for å sinei til det forslaget som ligger i denne saken. Men de argumenter som hun fremførte, får stå for hennes egen regning. Mange by- og bygdelister har et håp om at Stortingetslutter opp om at alle grupper som stiller til valg, skal behandles på samme måte når det gjelder økonomiske forhold,som de etablerte partier. Dette er jo ikke et urimelig krav. 20008. juni – Riksrevisjonens melding om virksomheten i 19993441By- og bygdelisteorganisasjonene har i lengre tidprøvd å få de partiene som er representert på Stortinget, itale. Det ser ut til at dette har vært fånyttes, fordi det kuner ett parti som tar dette seriøst, og det er landets neststørste parti, som har tilstrekkelig vilje til å behandle byog bygdelistene på lik linje med partiene. Denne forskjellsbehandlingen som flertallet i komiteen legger tilgrunn, kan resultere i at by- og bygdelistene i stedet starter et nytt parti i ren skuffelse. I den sammenheng børman være klar over at denne politiske gruppering samletsett representerer godt over 100 000 stemmer. I dag hardisse listene totalt 25 ordførere, 31 varaordførere og hele1 000 kommunestyrerepresentanter. Når disse samlet setter større enn enkelte partier på Stortinget som mottarøkonomisk støtte i dag, blir det ikke bare diskriminerende – det blir nærmest parodisk. I dag får registrerte partier sågar økonomisk støtteselv om de ikke får representasjon verken i kommunestyre eller fylkesting. Slik er reglementet. Dessuten gjør byog bygdelistenes representanter akkurat det samme politiske arbeidet som andre politiske grupperinger eller partier. Skal man ha noen troverdighet i dette spørsmålet,skulle man normalt ha kommet til at by- og bygdelisterburde ha stemmestøtte på lik linje med de etablerte partier",2000
"21",2000-06-08,1997,43,"Presidenten","Stortinget","Flere har ikke bedt om ordet til sak nr. 1.(Votering, se side 3460)S a k n r . 2Innstilling fra kontroll- og konstitusjonskomiteen omRiksrevisjonens undersøkelse vedrørende resultatoppnåelse i Arbeidstilsynet (Innst. S. nr. 187 (1999-2000), jf.Dokument nr. 3:9 (1999-2000)",2000
"22",2000-06-08,1997,157,"Kristin Halvorsen ","SV","Jeg harbare noen korte merknader. Dette er en enstemmig innstilling fra komiteen, og den er ikke mer kontroversiellenn at man slutter seg til konklusjonene i den rapportensom Riksrevisjonen har levert, vedrørende resultatoppnåelse i Arbeidstilsynet. Hovedkritikken som rettes mot Arbeidstilsynet fraRiksrevisjonen, dreier seg om at man ikke har vært utadrettet nok og drevet nok aktivt tilsyn i forhold til de oppgavene som Arbeidstilsynet er pålagt, og som for så vidtogså er målsettingen for deres egen omstilling. Komiteenser at det kan være mye som taler for at det tilsynet somArbeidstilsynet nå bedriver, er mer krevende enn før, atdet er en mer krevende kvalitetssikring som skal til, og atdet derfor ikke er så lett å telle og sammenlikne hva somgjøres fra ett år til et annet. Komiteen har også merket seg at departementet sier atman er i en omstillingsprosess, og at man bestreber segpå å oppfylle de mål man selv har satt seg. Med disse kommentarer anbefaler jeg komiteens innstilling.",2000
"23",2000-06-08,1997,42,"Presidenten","Stortinget","Flere har ikke bedt om ordet til sak nr. 2.(Votering, se side 3460)S a k n r . 3Innstilling fra kontroll- og konstitusjonskomiteen omRiksrevisjonens melding om virksomheten i 1999 (Innst.S. nr. 186 (1999-2000), jf. Dokument nr. 2 (1999-2000)",2000
